theorem_name,module,claim_class,lean_compiles,lake_build_passes,axiom_dependencies,source_provenance,statement_frozen_before_proof,definition_change_status,frame_status,tokenization_status,independence_status,strongest_claim_proved,stronger_claim_open,counterfactual_importance,audit_status,audit_date,notes
KTGlyph.card_glyph,KTLean/Glyph.lean,"STRUCTURAL;CARDINALITY",YES,YES,"propext;Classical.choice;Quot.sound","SOURCE_FIXED;ARCHITECT_FIXED",YES,YES_SYNTACTIC_ONLY_OR_UNKNOWN,FRAME_STATUS_UNPROVED,PRE_TOKENIZATION,PARTIAL,"The exact Lean carrier KTGlyph.Glyph has cardinality 42.","Concrete PSL(2,7) invariance; physical exhaustiveness of the 42 glyphs.",CENTRAL_CLAIM_FAILURE,"AXIOM_AUDITED;NATIVE_DECIDE_REMOVED;SOURCE_AUDIT_PENDING;FRAME_AUDIT_PENDING",2026-07-16,"The count is relative to the framed Fano law encoded in OperationNormalForm."
KTMonad.card_monad,KTLean/Monad.lean,"STRUCTURAL;CARDINALITY",YES,YES,"propext;Classical.choice;Quot.sound","SOURCE_FIXED;ARCHITECT_FIXED",YES,UNKNOWN,FRAME_STATUS_UNPROVED,PRE_TOKENIZATION,PARTIAL,"The exact Lean carrier KTMonad.Monad has cardinality 168.","Concrete PSL(2,7) action; canonical identification of monads with group elements; physical interpretation of the four walk realizations.",CENTRAL_CLAIM_FAILURE,"AXIOM_AUDITED;NATIVE_DECIDE_REMOVED;SOURCE_AUDIT_PENDING;FRAME_AUDIT_PENDING",2026-07-16,"The theorem proves 42 glyphs times four walk states equals 168."
CayleyDicksonQuaternion.routedMul_eq_cdMul,KTLean/CayleyDicksonQuaternion.lean,"STRUCTURAL;ROUTING;COMPOSITION",YES,YES,"propext;Quot.sound",FORMALIZATION_DERIVED,PARTIAL,ARCHITECTURAL_REPAIR_RECORDED,NOT_APPLICABLE,PRE_TOKENIZATION,NOT_INDEPENDENT_YET,"The explicitly specified routed quaternion-block multiplication equals the independently defined Cayley-Dickson product for all inputs.","Independent Pascal-mod-3 forcing; uniqueness of the routing datum; doubled norm composition; alternativity; explicit nonzero associator witness.",MAJOR_BRANCH_FAILURE,"AXIOM_AUDITED;TARGET_IMPLEMENTATION_VERIFIED;INDEPENDENCE_AUDIT_PARTIAL;PASCAL_FORCING_OPEN",2026-07-16,"The current selector, route, and orientation datum was target-informed."
HurwitzBoundary.carrier_reaches_maximal_boundary,KTLean/HurwitzBoundary.lean,"STRUCTURAL;CARDINALITY;DIMENSION",YES,YES,"propext;Classical.choice;Quot.sound",FORMALIZATION_DERIVED,YES,NO_OR_UNKNOWN,NOT_APPLICABLE,PRE_TOKENIZATION,PARTIAL,"The doubled quaternion carrier has scalar dimension 8 and reaches the explicitly defined maximal Hurwitz dimension.","Full Hurwitz classification; norm composition on the doubled carrier; failure of composition beyond dimension 8.",MODULE_REDESIGN,"AXIOM_AUDITED;SCOPE_CLARIFIED;FULL_HURWITZ_OPEN;DOUBLED_NORM_COMPOSITION_OPEN",2026-07-16,"This is a dimension theorem about a constructed carrier, not the full classification theorem."
KTLean.RoutedResidueSensitive.dynamics_quasiStochastic,KTLean/RoutedResidueSensitive.lean,"STRUCTURAL;PROJECTION;DYNAMICS;EXISTENCE",YES,YES,propext,FORMALIZATION_DERIVED,PARTIAL,UNKNOWN,FRAME_STATUS_UNPROVED,PRE_TOKENIZATION,WITNESS_CONSTRUCTION,"One explicit deterministic complete-state system has a noninjective local projection and residue-sensitive evolution, hence quasi-stochastic visible dynamics.","Canonicality of the witness transition; concrete frame invariance; Born rule; empirical quantum statistics.",MAJOR_BRANCH_FAILURE,"AXIOM_AUDITED;WITNESS_STATUS_CLARIFIED;VISIBLE_NONMARKOVIANITY_PROVED;FRAME_AUDIT_PENDING",2026-07-16,"The result is an existence theorem, not a universal claim about all KT dynamics."
KTLean.MonadProjection.ScalarProjection.constant_on_orbit,KTLean/MonadProjection.lean,"STRUCTURAL;INVARIANCE;PROJECTION",YES,YES,NONE,ARCHITECT_FIXED,YES,NO_SUBSTANTIVE_CHANGE_KNOWN,CONDITIONAL_ON_FRAME_ACTION,PRE_TOKENIZATION,ABSTRACTLY_INDEPENDENT,"Any invariant scalar projection is constant on the orbits of the supplied lawful frame action.","Construction of the concrete PSL(2,7) action; proof that all claimed physical scalar observables are invariant.",CENTRAL_CLAIM_FAILURE,"AXIOM_AUDITED;AXIOM_FREE;ABSTRACT_INVARIANCE_PROVED;CONCRETE_PSL27_ACTION_OPEN",2026-07-16,"This is the cleanest theorem in the current axiom-audit sample."
KTLean.MonadOrbit.physicallyAdmissible_factors_through_orbit,KTLean/MonadOrbit.lean,"STRUCTURAL;INVARIANCE;QUOTIENT;PROJECTION",YES,YES,propext,ARCHITECT_FIXED,YES,NO_SUBSTANTIVE_CHANGE_KNOWN,CONDITIONAL_ON_FRAME_ACTION,PRE_TOKENIZATION,ABSTRACTLY_INDEPENDENT,"Any physically admissible invariant observable descends to a well-defined function on the monad orbit quotient.","Concrete PSL(2,7) action; proof that the quotient is the physically correct state space; audit of all existing monad observables.",CENTRAL_CLAIM_FAILURE,"AXIOM_AUDITED;ABSTRACT_ORBIT_DESCENT_PROVED;CONCRETE_PSL27_ACTION_OPEN",2026-07-16,"The theorem formalizes the no-preferred-trivialization principle."
FanoRecovery.recoveredLines_eq_fanoLines,KTLean/FanoRecovery.lean,"STRUCTURAL;INCIDENCE;RECOVERY",YES,YES,"propext;Classical.choice;Quot.sound",FORMALIZATION_DERIVED,YES,NO_SUBSTANTIVE_CHANGE_KNOWN,NOT_APPLICABLE,PRE_TOKENIZATION,PARTIAL,"All Steiner blocks generated from distinct Fano point pairs recover exactly the seven explicit Fano lines.","Independent proof that Pascal routing uniquely forces the Fano completion table.",MAJOR_BRANCH_FAILURE,"AXIOM_AUDITED;EXACT_FANO_RECOVERY_PROVED;PASCAL_FORCING_OPEN",2026-07-16,"This proves equality with the explicit Fano incidence structure, not uniqueness from Pascal routing."
FanoRecovery.braid_paths_recover_same_exteriorBlock,KTLean/FanoRecovery.lean,"STRUCTURAL;INCIDENCE;YANG_BAXTER;COHERENCE",YES,YES,"propext;Quot.sound",FORMALIZATION_DERIVED,YES,NO_SUBSTANTIVE_CHANGE_KNOWN,NOT_APPLICABLE,PRE_TOKENIZATION,PARTIAL,"The two Yang-Baxter braid paths recover the same exterior Fano incidence block.","A nontrivial routed multiplication theorem in which braid coherence forces the full Cayley-Dickson selector datum.",MAJOR_BRANCH_FAILURE,"AXIOM_AUDITED;BRAID_RECOVERY_COHERENCE_PROVED",2026-07-16,"The result concerns recovered incidence rather than equality of complete routed states."
FanoRecovery.structured_route_residue_exists,KTLean/FanoRecovery.lean,"STRUCTURAL;PROJECTION;RESIDUE;EXISTENCE",YES,YES,propext,FORMALIZATION_DERIVED,YES,NO_SUBSTANTIVE_CHANGE_KNOWN,FRAME_STATUS_UNPROVED,PRE_TOKENIZATION,WITNESS_CONSTRUCTION,"Two distinct routed states can share the same visible block payload and control value while retaining distinct routing addresses.","Canonical physical interpretation of the retained route address and invariance under the concrete substrate frame group.",MAJOR_BRANCH_FAILURE,"AXIOM_AUDITED;STRUCTURED_RESIDUE_WITNESS_PROVED;FRAME_AUDIT_PENDING",2026-07-16,"This is a concrete witness that projection can erase visible distinctions while preserving structured provenance."
